architecture,day,krs,length,surface
1,48,0.004465892164206913,1083.9196383920862,195.12861409824325
1,49,0.004519241226039578,1084.9253240515038,195.54349923270775
1,50,0.0045705675305218844,1086.9554829246936,196.07537175849052
1,51,0.004608449782894442,1088.0419804436144,196.47749486873408
1,52,0.004632009462536132,1089.9583123384577,196.9732803919241
1,53,0.004634690582470036,1092.165427777157,197.49550189910633
1,54,0.004623269963698078,1093.6469107708579,197.91691339333397
1,55,0.004599522469080029,1094.4874550627699,198.24860896289147
1,56,0.004566334065082364,1096.774869056109,198.75337442351622
1,57,0.004525864362661329,1097.6567944748112,199.07317096694186
1,58,0.00447854712914594,1098.1603288409078,199.33744351119773
1,59,0.00442363948407661,1099.612538047826,199.71331076365266
1,60,0.004362267473686042,1100.2432578648913,199.97866222562615
1,61,0.004297659286474878,1100.6548271185625,200.2095065514581
1,62,0.004227639293397868,1101.0391244546217,200.43025536376223
1,63,0.004155814473169178,1102.2323040448514,200.74626642870527
1,64,0.004085607146013079,1104.2282727761633,201.15704276714882
1,65,0.004013150616314741,1104.5939447305045,201.35708864587923
1,66,0.0039365723466705796,1104.891974215474,201.54301491917113
1,67,0.0038582955481911035,1105.1785492690778,201.72211220072893
1,68,0.003777103490692829,1106.6907795504562,202.05005875175067
1,69,0.003693677754327642,1106.9605757926824,202.21691317018104
2,0,0.0002804107462869036,5.680971585117125,4.035901805529053
2,1,0.0005688211376343112,12.433360322929866,8.16372350199047
2,2,0.0008149246887813727,18.932710025027443,12.257539595934677
2,3,0.001019195129346854,33.71430899743496,21.100311842683524
2,4,0.0011613461134609934,64.70569088985191,40.06635748455813
2,5,0.001284671409593305,97.77700639616424,59.184759605119964
2,6,0.0013636912368959657,131.46445810510593,78.16439970545332
2,7,0.0014253503679400327,167.88756905319224,97.33669989724498
2,8,0.0014679441186240744,206.73677991695246,116.63582367772962
2,9,0.001498033697597031,245.9668809213659,135.7965530821828
2,10,0.0015214306379726964,290.17432973238846,155.46526007996974
2,11,0.0015367981101590217,339.4896682090733,175.56949315954282
2,12,0.0015497219929663153,392.6863991088874,196.07007963364686
2,13,0.0015622934976486694,449.08642479220515,216.79587973316995
2,14,0.0015582563746945894,508.3063912400512,237.694738880834
2,15,0.0015376505966853376,573.7433485164204,259.2796984170312
2,16,0.0015059172595613382,644.3751664148326,281.3223394008593
2,17,0.0014657791895509498,720.1073916799697,303.90721793050403
2,18,0.0014194013749969868,802.2465606047177,326.6984217460573
2,19,0.00143902630272751,940.8006338202293,350.10188780776446
2,20,0.0015720140818574512,1085.5659262131467,374.28526891289016
2,21,0.0016927972465283713,1233.2797687167551,398.74600175397507
2,22,0.001823523377642203,1384.1040196534339,423.48669588666553
2,23,0.0019367508975351078,1547.658640214118,449.80244794221346
2,24,0.0020648709685462526,1716.5768582305045,476.7138909080264
2,25,0.0021770301467613196,1883.6897077120793,503.2917594884055
2,26,0.0022875311730098076,2059.249814535611,530.946392955272
2,27,0.0023959893012284908,2243.7715804083577,559.6234723964317
2,28,0.002487358773557429,2425.3312989414185,587.840151310159
2,29,0.002579753396608404,2610.734154815713,616.577224635499
2,30,0.002659422604232724,2806.6011102898756,646.5273558185285
2,31,0.0027358450469939758,3008.511178619594,677.1367139250149
2,32,0.0028122587931173207,3218.635209797738,709.0760235126004
2,33,0.0028799323693683688,3429.0424996318625,743.4058911607575
2,34,0.0029481729282685156,3642.3719581551004,777.9764793410868
2,35,0.0030073529020902406,3853.746755234036,812.1945833816724
2,36,0.003064199463433204,4070.1934816979838,847.0439069038625
2,37,0.003122241732265736,4290.149915160772,882.2116925952961
2,38,0.0031723952606398666,4500.695122720405,916.0761507888948
2,39,0.003220123528928198,4719.1237583618495,950.8889505493707
2,40,0.0032655650420289756,4943.070748161998,986.3128177741062
2,41,0.0033052823887348547,5156.16819018002,1020.2567829733953
2,42,0.0033413115973824196,5375.57960685823,1054.8794842278978
2,43,0.003377310403582256,5606.31468076949,1090.9159005429815
2,44,0.0034082184381658844,5836.820575858273,1126.8158569618859
2,45,0.00344088345105393,6070.74306728853,1163.0344428375242
2,46,0.003462054964186219,6302.114677951551,1198.8234767344015
2,47,0.0034821280700832093,6532.682636128828,1234.5162659112589
2,48,0.0035205685200272985,6762.515519628446,1280.7824859721352
2,49,0.003598804145159965,6984.770056660034,1327.3943422032153
2,50,0.0036850386090983905,7205.581591603271,1373.5888807748577
2,51,0.0037762075649284354,7425.802342171528,1419.5747460959096
2,52,0.0038653205753663685,7651.91092021192,1466.1176829096487
2,53,0.003955303094514151,7879.423388550194,1512.6078195253717
2,54,0.0040397322404904495,8113.715133998307,1559.7328228957513
2,55,0.004122387876984125,8365.843426088104,1609.005948166778
2,56,0.004202656321918023,8615.856880269002,1657.7908270609119
2,57,0.0042760919034095,8866.176617670406,1706.3945778659925
2,58,0.0043462310828634495,9123.68807763777,1755.6852838660623
2,59,0.0044134416713106535,9377.53329605169,1804.3419253613806
2,60,0.004477961990366294,9631.55181188093,1852.8945088319758
2,61,0.004537071026864377,9896.175783165336,1902.5696534451656
2,62,0.0045911376095833425,10168.414367021694,1952.9942278805922
2,63,0.004637961112901508,10437.265864511191,2002.7883913570315
2,64,0.004681950652974282,10716.543424566018,2053.7770772578588
2,65,0.004726461497884363,10987.951859704646,2103.5929930233933
2,66,0.004770253271246232,11265.766557916353,2154.015835622157
2,67,0.004809877836250203,11545.664410386376,2204.5048957401154
2,68,0.004849176336476109,11823.159218933051,2254.523014631249
2,69,0.0048890545656371945,12110.356447836919,2305.6604472100416
3,0,0.00023338242421423267,4.064339597739793,1.7914369137144694
3,1,0.0005781155709757266,9.752269898911667,4.062805608426349
3,2,0.0010412108352383328,18.113831978146244,6.884615708349072
3,3,0.001643266050461585,31.479649643142057,10.422307659544423
3,4,0.00238096371871347,50.562039332563614,14.726586387149073
3,5,0.0032843372575303478,78.53934032141213,20.090367706365654
3,6,0.004290603594968375,113.26271145418363,26.2768173012861
3,7,0.0054011521230520766,156.61244262584262,33.4047620815549
3,8,0.0066362531827922535,212.29894996246273,41.75760243166945
3,9,0.007949006904531375,277.77059953003027,51.125891890119185
3,10,0.00933135909671238,353.9298168373283,61.57489500050647
3,11,0.010789059081663083,442.9468277344601,73.23219384537094
3,12,0.012305884157595825,545.4338568510749,86.14329972536204
3,13,0.013883200206800153,662.0960107004983,100.37529742088525
3,14,0.015527484450335477,795.6380626302923,116.1713627480071
3,15,0.017200295266794088,959.2943888322959,133.44711641414352
3,16,0.01888641390953293,1141.8679281810817,151.9092787187019
3,17,0.0205929450102615,1339.8102660654329,171.8648561760212
3,18,0.022285982400097697,1555.9891884174854,193.54275848839623
3,19,0.02402966683653673,1788.2831122156022,216.76806586806475
3,20,0.026051139697944318,2039.511109281744,241.72817280477454
3,21,0.028205229264183625,2307.3188965197696,268.17169707709013
3,22,0.030535306586614883,2595.219420920938,296.3831631656999
3,23,0.03291428084541354,2902.9708509359775,326.3457744138965
3,24,0.03538989842051996,3230.26332990352,358.0146357175211
3,25,0.03783948668315762,3574.1322921750602,390.75557193139093
3,26,0.04029731690374817,3935.5963128444705,424.67188161761834
3,27,0.04275797094083769,4319.324459652785,460.14120883301655
3,28,0.045187738308244664,4718.630763683068,496.61404839999784
3,29,0.04759929083470241,5134.108778085564,534.1075533647906
3,30,0.05000257712815439,5565.358422197857,572.571304102089
3,31,0.05237777521254035,6007.269423686833,611.5920512761156
3,32,0.05470000101469971,6459.7886682726585,651.2211088475303
3,33,0.05692410820817549,6923.291680621705,691.5428677307004
3,34,0.059167133120049425,7393.710025476896,732.2642760715457
3,35,0.06136955096535687,7873.54410264269,773.5772094122942
3,36,0.06352576163608638,8360.67692016174,815.3182174154754
